zone_id,target_period_start,fold,modelo,y_real,y_pred
tena,2007-04-01,1,Logistic_Regression,Media,Alta
babahoyo,2007-05-01,1,Logistic_Regression,Alta,Alta
cuenca,2007-05-01,1,Logistic_Regression,Baja,Baja
esmeraldas,2007-05-01,1,Logistic_Regression,Alta,Alta
guayaquil,2007-05-01,1,Logistic_Regression,Media,Media
loja,2007-05-01,1,Logistic_Regression,Baja,Media
machala,2007-05-01,1,Logistic_Regression,Baja,Media
portoviejo,2007-05-01,1,Logistic_Regression,Baja,Media
puyo,2007-05-01,1,Logistic_Regression,Alta,Media
quito,2007-05-01,1,Logistic_Regression,Media,Alta
riobamba,2007-05-01,1,Logistic_Regression,Media,Media
salinas,2007-05-01,1,Logistic_Regression,Baja,Baja
tena,2007-05-01,1,Logistic_Regression,Alta,Alta
babahoyo,2007-06-01,1,Logistic_Regression,Alta,Media
cuenca,2007-06-01,1,Logistic_Regression,Baja,Baja
esmeraldas,2007-06-01,1,Logistic_Regression,Media,Media
guayaquil,2007-06-01,1,Logistic_Regression,Alta,Media
loja,2007-06-01,1,Logistic_Regression,Baja,Baja
machala,2007-06-01,1,Logistic_Regression,Baja,Baja
portoviejo,2007-06-01,1,Logistic_Regression,Media,Baja
puyo,2007-06-01,1,Logistic_Regression,Media,Media
quito,2007-06-01,1,Logistic_Regression,Media,Media
riobamba,2007-06-01,1,Logistic_Regression,Media,Baja
salinas,2007-06-01,1,Logistic_Regression,Baja,Baja
tena,2007-06-01,1,Logistic_Regression,Media,Alta
babahoyo,2007-07-01,1,Logistic_Regression,Media,Media
cuenca,2007-07-01,1,Logistic_Regression,Baja,Baja
esmeraldas,2007-07-01,1,Logistic_Regression,Baja,Baja
guayaquil,2007-07-01,1,Logistic_Regression,Media,Media
loja,2007-07-01,1,Logistic_Regression,Baja,Baja
machala,2007-07-01,1,Logistic_Regression,Baja,Baja
portoviejo,2007-07-01,1,Logistic_Regression,Baja,Baja
puyo,2007-07-01,1,Logistic_Regression,Media,Media
quito,2007-07-01,1,Logistic_Regression,Media,Media
riobamba,2007-07-01,1,Logistic_Regression,Baja,Baja
salinas,2007-07-01,1,Logistic_Regression,Baja,Baja
tena,2007-07-01,1,Logistic_Regression,Media,Alta
babahoyo,2007-08-01,1,Logistic_Regression,Media,Media
cuenca,2007-08-01,1,Logistic_Regression,Baja,Baja
esmeraldas,2007-08-01,1,Logistic_Regression,Baja,Baja
guayaquil,2007-08-01,1,Logistic_Regression,Media,Baja
loja,2007-08-01,1,Logistic_Regression,Baja,Baja
machala,2007-08-01,1,Logistic_Regression,Baja,Baja
portoviejo,2007-08-01,1,Logistic_Regression,Baja,Baja
puyo,2007-08-01,1,Logistic_Regression,Baja,Baja
quito,2007-08-01,1,Logistic_Regression,Media,Baja
riobamba,2007-08-01,1,Logistic_Regression,Baja,Baja
salinas,2007-08-01,1,Logistic_Regression,Baja,Baja
tena,2007-08-01,1,Logistic_Regression,Media,Media
babahoyo,2007-09-01,1,Logistic_Regression,Media,Media
cuenca,2007-09-01,1,Logistic_Regression,Baja,Baja
esmeraldas,2007-09-01,1,Logistic_Regression,Baja,Baja
guayaquil,2007-09-01,1,Logistic_Regression,Baja,Baja
loja,2007-09-01,1,Logistic_Regression,Baja,Baja
machala,2007-09-01,1,Logistic_Regression,Baja,Baja
portoviejo,2007-09-01,1,Logistic_Regression,Baja,Baja
puyo,2007-09-01,1,Logistic_Regression,Baja,Baja
quito,2007-09-01,1,Logistic_Regression,Media,Media
riobamba,2007-09-01,1,Logistic_Regression,Baja,Baja
salinas,2007-09-01,1,Logistic_Regression,Baja,Baja
tena,2007-09-01,1,Logistic_Regression,Media,Media
babahoyo,2007-10-01,1,Logistic_Regression,Baja,Media
cuenca,2007-10-01,1,Logistic_Regression,Media,Baja
esmeraldas,2007-10-01,1,Logistic_Regression,Baja,Baja
guayaquil,2007-10-01,1,Logistic_Regression,Baja,Baja
loja,2007-10-01,1,Logistic_Regression,Media,Baja
machala,2007-10-01,1,Logistic_Regression,Baja,Baja
portoviejo,2007-10-01,1,Logistic_Regression,Baja,Baja
puyo,2007-10-01,1,Logistic_Regression,Alta,Media
quito,2007-10-01,1,Logistic_Regression,Alta,Media
riobamba,2007-10-01,1,Logistic_Regression,Media,Media
salinas,2007-10-01,1,Logistic_Regression,Baja,Baja
tena,2007-10-01,1,Logistic_Regression,Media,Media
babahoyo,2007-11-01,1,Logistic_Regression,Media,Media
cuenca,2007-11-01,1,Logistic_Regression,Media,Media
esmeraldas,2007-11-01,1,Logistic_Regression,Baja,Baja
guayaquil,2007-11-01,1,Logistic_Regression,Baja,Baja
loja,2007-11-01,1,Logistic_Regression,Media,Media
machala,2007-11-01,1,Logistic_Regression,Baja,Baja
portoviejo,2007-11-01,1,Logistic_Regression,Baja,Baja
puyo,2007-11-01,1,Logistic_Regression,Alta,Alta
quito,2007-11-01,1,Logistic_Regression,Alta,Alta
riobamba,2007-11-01,1,Logistic_Regression,Media,Media
salinas,2007-11-01,1,Logistic_Regression,Baja,Baja
tena,2007-11-01,1,Logistic_Regression,Alta,Alta
babahoyo,2007-12-01,1,Logistic_Regression,Media,Alta
cuenca,2007-12-01,1,Logistic_Regression,Media,Media
esmeraldas,2007-12-01,1,Logistic_Regression,Media,Alta
guayaquil,2007-12-01,1,Logistic_Regression,Baja,Media
loja,2007-12-01,1,Logistic_Regression,Media,Media
machala,2007-12-01,1,Logistic_Regression,Baja,Baja
portoviejo,2007-12-01,1,Logistic_Regression,Baja,Baja
puyo,2007-12-01,1,Logistic_Regression,Alta,Alta
quito,2007-12-01,1,Logistic_Regression,Alta,Alta
riobamba,2007-12-01,1,Logistic_Regression,Baja,Media
salinas,2007-12-01,1,Logistic_Regression,Baja,Baja
tena,2007-12-01,1,Logistic_Regression,Alta,Alta
babahoyo,2008-01-01,2,Logistic_Regression,Alta,Alta
cuenca,2008-01-01,2,Logistic_Regression,Media,Media
esmeraldas,2008-01-01,2,Logistic_Regression,Alta,Alta
guayaquil,2008-01-01,2,Logistic_Regression,Alta,Media
loja,2008-01-01,2,Logistic_Regression,Media,Media
machala,2008-01-01,2,Logistic_Regression,Alta,Media
portoviejo,2008-01-01,2,Logistic_Regression,Media,Baja
puyo,2008-01-01,2,Logistic_Regression,Alta,Alta
quito,2008-01-01,2,Logistic_Regression,Media,Alta
riobamba,2008-01-01,2,Logistic_Regression,Media,Media
salinas,2008-01-01,2,Logistic_Regression,Media,Baja
tena,2008-01-01,2,Logistic_Regression,Alta,Alta
babahoyo,2008-02-01,2,Logistic_Regression,Alta,Alta
cuenca,2008-02-01,2,Logistic_Regression,Alta,Media
esmeraldas,2008-02-01,2,Logistic_Regression,Alta,Alta
guayaquil,2008-02-01,2,Logistic_Regression,Alta,Alta
loja,2008-02-01,2,Logistic_Regression,Alta,Media
machala,2008-02-01,2,Logistic_Regression,Alta,Alta
portoviejo,2008-02-01,2,Logistic_Regression,Alta,Alta
puyo,2008-02-01,2,Logistic_Regression,Alta,Alta
quito,2008-02-01,2,Logistic_Regression,Alta,Alta
riobamba,2008-02-01,2,Logistic_Regression,Alta,Media
salinas,2008-02-01,2,Logistic_Regression,Alta,Media
